text,intent
Hôm nay có lịch gì?,HOI_LICH
Lịch ngày mai thế nào?,HOI_LICH
Thứ 2 phải làm gì?,HOI_LICH
Cho tôi xem thời khoá biểu,HOI_LICH
Lịch tuần này có gì?,HOI_LICH
Mấy giờ ăn cơm?,HOI_GIO_AN
Bao giờ có cơm?,HOI_GIO_AN
Khi nào ăn trưa?,HOI_GIO_AN
Giờ ăn tối là khi nào?,HOI_GIO_AN
Chiều mấy giờ ăn?,HOI_GIO_AN
Nhà ăn ở đâu?,HOI_VI_TRI
Phòng tập thể dục ở chỗ nào?,HOI_VI_TRI
Sân tập ở đâu vậy?,HOI_VI_TRI
Lớp học ở khu nào?,HOI_VI_TRI
Cho tôi đường tới phòng y tế,HOI_VI_TRI
Lựu đạn được phát mấy quả?,HOI_KIEN_THUC
Súng AK có trọng lượng bao nhiêu?,HOI_KIEN_THUC
Quy tắc bắn 3 điểm là gì?,HOI_KIEN_THUC
Đội hình hàng dọc đứng thế nào?,HOI_KIEN_THUC
Cách chào điều lệnh ra sao?,HOI_KIEN_THUC
Báo cáo đại đội đã có mặt đầy đủ,BAO_CAO
Báo cáo trung đội 1 đủ quân,BAO_CAO
Tôi xin báo cáo đã hoàn thành nhiệm vụ,BAO_CAO
Báo cáo thủ trưởng tiểu đội 3 vắng 2 người,BAO_CAO
Báo cáo đã chuẩn bị xong,BAO_CAO
Cho tôi xin phép ra ngoài,XIN_PHEP
Tôi xin phép nghỉ học vì bị ốm,XIN_PHEP
Cho tôi nghỉ buổi tập chiều nay được không?,XIN_PHEP
Xin phép thủ trưởng cho ra cổng,XIN_PHEP
Cho tôi xin phép về thăm nhà,XIN_PHEP
Chào thủ trưởng tôi đi đây,TAM_BIET
Em chào sĩ quan,TAM_BIET
Tạm biệt nhé,TAM_BIET
Hẹn gặp lại,TAM_BIET
Chào tạm biệt,TAM_BIET
Hôm nay trời đẹp nhỉ,OUT_OF_SCOPE
Bạn có biết Messi không?,OUT_OF_SCOPE
Kể chuyện cười đi,OUT_OF_SCOPE
Tối qua tôi xem phim hay lắm,OUT_OF_SCOPE
Pizza có ngon không?,OUT_OF_SCOPE
thưa thủ trưởng 5 giờ sáng có lịch không chứ,HOI_LICH
sáng nay có lịch không được khôg,HOI_LICH
cho tôi xem lịch 10 giờ ạ,HOI_LICH
9 giờ tối phải làm gì?,HOI_LICH
đồng chí tôi muốn biết lịch,HOI_LICH
Cho em hỏi thời khoá biểu tuần sau,HOI_LICH
thua can bo cho toi xem lich 1 gio chieu day,HOI_LICH
Thầy ơi ngày kia có hoạt động gì,HOI_LICH
buổi trưa có hoạt động gì vậy,HOI_LICH
Báo cáo thủ trưởng cho em xem thời khoá biểu tuần này đi,HOI_LICH
Xin hỏi lịch hôm nay thưa thủ trưởng,HOI_LICH
cho toi xem lich khi nao,HOI_LICH
xin phép thủ trưởng kế hoạch buổi chiều,HOI_LICH
Lịch hôm nay vậy,HOI_LICH
Anh ơi thứ 4 tập gì?,HOI_LICH
dong chi oi toi muon biet lich thua thu truong,HOI_LICH
Cho em xem thời khoá biểu ngày kia,HOI_LICH
tuần tới có lịch không ?,HOI_LICH
anh oi 3 gio chieu trung doi lam gi chu,HOI_LICH
đồng chí ơi 7 giờ làm gì thế,HOI_LICH
thưa cán bộ lúc nào có hoạt động gì nhỉ,HOI_LICH
em hoi voi chuong trinh 3 gio chieu,HOI_LICH
thưa thủ trưởng cho em xem thời khoá biểu 8 giờ được không ạ,HOI_LICH
Thưa thủ trưởng cho em xem thời khoá biểu chiều mai,HOI_LICH
thua can bo thu 2 hoc gi duoc khong a,HOI_LICH
Thầy ơi tuần sau phải làm gì đi,HOI_LICH
thứ 5 có buổi gì được không ạ,HOI_LICH
thầy ơi 7 giờ học gì,HOI_LICH
Xin hỏi thứ 2 giảng đường có lịch gì được không ạ,HOI_LICH
Báo cáo thủ trưởng lịch buổi sáng ra sao thưa thủ trưởng,HOI_LICH
đồng chí ơi khi nào giảng đường có lịch gì chứ,HOI_LICH
thưa cán bộ lịch hôm nay được không,HOI_LICH
cho hỏi buổi tối tập gì được không,HOI_LICH
Anh ơi chủ nhật sinh viên có lịch không,HOI_LICH
xin phép thủ trưởng buổi chiều phải làm gì,HOI_LICH
1 giờ chiều giảng đường có lịch gì nhỉ,HOI_LICH
Đồng chí ơi tuần sau học gì,HOI_LICH
Thưa thủ trưởng buổi sáng có gì đặc biệt nhỉ,HOI_LICH
thưa cán bộ chiều mai có gì đặc biệt nhỉ,HOI_LICH
Báo cáo thủ trưởng cho em xem thời khoá biểu ngày mai,HOI_LICH
xin phép thủ trưởng tôi muốn biết lịch thế,HOI_LICH
anh ơi lịch hôm nay ?,HOI_LICH
Báo cáo thủ trưởng 8 giờ phải làm gì được không ạ,HOI_LICH
Tuần này có buổi gì được không,HOI_LICH
cho em hỏi lịch tuần đấy,HOI_LICH
xin ỏi ngày kia tập gì,HOI_LICH
Hôm qua đại đội có lịch gì chứ,HOI_LICH
bao cao thu truong thu 3 co buoi gi,HOI_LICH
Cho tôi xem lịch tuần sau được không,HOI_LICH
Cho em hỏi thời khoá biểu 12 giờ,HOI_LICH
cho tôi xem lịch sáng nay,HOI_LICH
xin hỏi lịch tuần,HOI_LICH
6 giờ sáng đại đội có lịch gì nhỉ,HOI_LICH
cho em hỏi chủ nhật tập gì chứ,HOI_LICH
thầy ơi lịch tuần nhỉ,HOI_LICH
thứ 5 phải làm gì ạ,HOI_LICH
cho em hỏi buổi sáng có gì đặc biệt?,HOI_LICH
thưa cán bộ 8 giờ học gì thế,HOI_LICH
lúc nào có hoạt động gì đi,HOI_LICH
kế hạch buổi tối vậy,HOI_LICH
thầy ơi thứ 7 có lịch gì,HOI_LICH
Xin phép thủ trưởng sáng nay có hoạt động gì nhỉ,HOI_LICH
nh ơi cho tôi xem lịch 12 giờ,HOI_LICH
Cho hỏi lịch trình chiều nay thưa thủ trưởng,HOI_LICH
em hỏi với lịch thứ 3 ra sao,HOI_LICH
Thầy lịch hôm nay,HOI_LICH
cho hỏi 3 giờ chiều có lịch không,HOI_LICH
đồng chí ơi sáng mai có gì đặc biệt đi,HOI_LICH
thưa thủ trưởng lịch của lớp 7 giờ thế,HOI_LICH
cho em hỏi lịch hôm nay chứ,HOI_LICH
lịch cuối tuần ra sao được không,HOI_LICH
lịch trình 8 giờ nhỉ,HOI_LICH
